Scope,Item,What it holds,Size,Why it is excluded
BWDB file,"BWDB_Rainfall_In_Bangladesh_2017_2018, BWDB_Trend_of_Water_Level_of_Major_Rivers_2014_2019","Rainfall 2017 to 2018, and the trend of water level of major rivers 2014 to 2019",2 files,"The rainfall file is keyed by a water development board rain gauge, which is a different network from the meteorological stations the Station relation holds, so its rows cannot join. The water level file measures river gauge height, and the diagram draws no water level attribute on any relation."
BBS file,BBS_HBES_2024_demo_grouped.xlsx,"Household Income and Expenditure Survey 2024, 19 tables and a narrative sheet",1 file,"Off topic. The survey measures household living conditions. Its first narrative line reads ""Percentage Distribution of Household by Separate Handwashing Facilities"", which is a public health measure and not an environmental one. No table in the file carries a station, a river or a measured environmental quantity."
"Column, 1NF to 2NF","Climate_Observation: Source_Organization, Source_File, Source_Sheet",One attribute per name listed,3 columns,"A partial dependency. These three depend only on the block a row was read from, not on the station and month that identify the reading. They move into Source_Block, so the provenance is kept once per block instead of being repeated on every measurement row."
"Column, 1NF to 2NF","Daily_Observation: Source_Organization, Source_Sheet",One attribute per name listed,2 columns,"The same partial dependency on the block, moved into Source_Block."
"Column, 1NF to 2NF","Water_Quality: River_Name, Water_Category",One attribute per name listed,2 columns,"Both depend on the monitoring station alone, not on the station and the year together. They move into River_Station, which is exactly the entity the approved diagram draws for a monitoring point on a river."
"Column, 1NF to 2NF",Forest_Area: Fiscal_Year,One attribute per name listed,1 column,"The published text 2019-20 is not atomic: it holds two years in one cell. It is split into Start_Year and End_Year in the Fiscal_Year relation, so the span is explicit and a foreign key can point at it."
"Column, 3NF to BCNF","River: Serial_No, BWDB_Zone, Border_River, Flow_Type",One attribute per name listed,4 columns,"Not in the approved diagram, which keeps only the river name. The serial number is also a publication artefact rather than a fact about the river: it is the row position in the register, and it is what makes Salda appear twice."
"Table, not loaded",Source_Block_2NF,"One row per published block, with its organisation, file, sheet and repeating group",62 rows,"A load time provenance table created by lifting a partial dependency out of the measurement tables. It is not an entity in the approved diagram, so it is not loaded. The same information is in the Traceability sheet of the workbook."
"Table, not loaded",Measure_Unit_2NF,"One row per measured quantity, with its unit of measurement",19 rows,"The unit depends only on the measure, so Second Normal Form requires lifting it out. The approved diagram draws no unit entity, so the units are documented rather than loaded. Every measurement column in the loaded schema holds one unit throughout, so no row is ambiguous without it."
Rows,"Rows refused by a primary key, exact duplicates",A second organisation publishing exactly the value another organisation had already published for the same key,46585 rows,"Boyce Codd Normal Form enforces the key, so only one row per key can load. These rows agree to the last decimal place with the row that is kept, so nothing measurable is lost and they are not listed individually. They are counted here so that the arithmetic from Third Normal Form to the loaded database closes."
Rows,"Measurements refused by a primary key, values disagreeing",A second organisation publishing a different value for a key another organisation had already filled,39591 rows,"Climate precedence is Bangladesh Meteorological Department, then Bangladesh Rice Research Institute, then Bangladesh Bureau of Statistics. Equal sources use the newest coverage, then the later source occurrence. Of these, 37145 are a real disagreement about the value and 2446 are the same reading rounded to a different number of decimal places. Every one is listed with both values in csv/BCNF/_Key_Conflicts.csv, so no rejected measurement is lost in silence. Together with the exact duplicates above this accounts for all 86176 rows the key refuses."
